x0,x1,x2,y,x3,x4,x5,x6,x7
A0,A0,A0,179,4,2.11,1,104,429.57142857142856
A1,A1,A1,73,4,2.11,1,282,430.85714285714283
A2,A2,A1,42,3,2.0,1,1,421.85714285714283
A2,A3,A0,150,3,0.74,1,152,423.14285714285717
A0,A4,A0,150,7,0.19,3,0,389.2857142857143
A0,A5,A0,125,2,3.69,4,68,430.0
A0,A5,A1,100,1,0.02,1,0,219.14285714285714
A0,A6,A1,33,2,0.19,1,0,405.14285714285717
A0,A0,A0,117,2,0.82,1,0,426.0
A2,A7,A0,104,3,0.7,1,6,430.85714285714283
A2,A8,A0,150,1,4.9,1,15,431.85714285714283
A1,A9,A1,149,1,,1,180,
A2,A10,A0,559,30,0.17,1,0,394.7142857142857
A2,A11,A0,140,2,1.1,1,110,431.85714285714283
A0,A12,A2,149,1,,2,363,
A2,A13,A0,250,30,0.19,12,310,402.0
A2,A14,A1,110,1,,1,0,
A3,A15,A1,105,1,0.14,2,365,389.85714285714283
A0,A0,A0,150,4,0.29,1,6,391.2857142857143
A2,A8,A1,175,3,,2,0,
A2,A16,A0,159,2,0.11,1,0,338.85714285714283
A0,A0,A0,120,29,0.75,7,0,427.0
A2,A10,A0,300,1,0.2,1,0,390.85714285714283
A2,A3,A1,60,30,0.51,1,0,424.2857142857143
A2,A17,A0,151,1,1.0,1,8,431.57142857142856
A4,A18,A1,30,7,1.0,2,188,430.7142857142857
A2,A19,A0,699,29,,327,327,
A0,A6,A1,41,2,1.16,1,0,405.2857142857143
A1,A20,A0,78,4,1.53,1,50,425.85714285714283
A2,A10,A0,200,1,0.05,2,0,348.7142857142857
A0,A0,A1,40,5,,1,0,
A0,A21,A1,50,2,0.22,3,282,429.0
A0,A21,A2,119,1,,33,365,
A0,A0,A1,53,7,,1,0,
A2,A7,A1,105,2,,4,56,
A0,A22,A0,170,2,0.86,1,9,386.14285714285717
A2,A23,A0,140,3,0.33,1,157,196.71428571428572
A0,A24,A1,45,1,0.96,1,6,405.14285714285717
A0,A5,A0,109,3,2.07,3,0,430.85714285714283
A2,A23,A1,110,3,4.95,2,128,431.0
A0,A25,A0,115,4,0.36,1,50,362.2857142857143
A2,A19,A0,185,2,,3,89,
A0,A6,A1,106,1,0.22,2,5,395.42857142857144
A0,A6,A1,40,30,,103,269,
A2,A23,A1,100,1,0.35,1,0,352.42857142857144
A0,A26,A0,95,2,1.61,2,83,429.14285714285717
A1,A27,A2,30,4,0.45,7,365,422.57142857142856
A1,A28,A0,80,2,3.83,1,115,430.85714285714283
A2,A3,A0,149,31,,4,77,
A0,A29,A0,82,3,1.11,1,0,427.85714285714283
A0,A5,A1,60,2,4.56,1,153,431.7142857142857
A2,A10,A0,139,1,4.68,1,230,430.0
A0,A21,A1,59,2,5.2,2,60,430.85714285714283
A1,A30,A2,37,1,0.76,4,362,390.57142857142856
A2,A19,A0,175,2,0.05,1,0,275.57142857142856
A0,A31,A0,210,30,,1,54,
A2,A13,A0,179,4,0.36,1,0,379.7142857142857
A2,A32,A0,185,29,,96,332,
A2,A33,A0,400,2,0.63,1,190,426.14285714285717
A1,A34,A1,99,2,1.59,1,5,423.42857142857144
A2,A13,A0,180,2,0.06,3,70,422.7142857142857
A2,A35,A0,300,2,0.77,2,0,375.0
A2,A32,A0,365,5,0.86,2,50,427.57142857142856
A0,A26,A1,70,5,0.06,2,0,234.14285714285714
,A19,A0,229,2,1.75,327,346,424.57142857142856
A0,A12,A0,245,3,0.48,5,278,426.42857142857144
A2,A36,A0,150,4,0.08,1,0,381.2857142857143
A0,A6,A1,45,3,0.07,1,0,371.85714285714283
A2,A2,A1,85,4,,1,55,
A1,A37,A0,250,2,,1,52,
A2,A32,A0,599,4,2.23,1,140,430.85714285714283
A0,A38,A0,1200,3,0.09,1,0,385.2857142857143
A0,A0,A0,118,30,0.52,1,295,408.2857142857143
A2,A13,A0,170,30,,9,342,
A0,A39,A1,100,2,1.14,4,365,429.85714285714283
A0,A6,A0,79,3,0.71,2,0,379.7142857142857
A2,A7,A1,100,3,0.04,1,0,230.85714285714286
A2,A2,A1,85,3,0.3,1,362,405.14285714285717
A0,A6,A0,175,1,1.9,1,264,428.85714285714283
A0,A40,A0,145,6,,1,14,
A2,A41,A1,45,1,2.83,2,0,427.85714285714283
A2,A23,A0,300,1,6.12,1,261,430.2857142857143
A0,A0,A1,85,1,,1,0,
A0,A42,A1,50,10,,1,0,
A2,A23,A1,120,2,0.8,1,179,430.14285714285717
A0,A21,A1,60,4,0.83,2,0,378.0
A2,A32,A1,143,2,0.53,1,364,401.7142857142857
A0,A39,A0,80,1,1.49,1,0,412.85714285714283
A2,A13,A0,750,3,,1,0,
A0,A43,A1,55,1,0.8,2,281,428.85714285714283
A0,A40,A0,111,8,,1,0,
A1,A28,A1,47,3,3.4,10,172,428.85714285714283
A2,A8,A0,359,2,2.06,1,252,428.85714285714283
A0,A6,A0,150,2,0.59,2,0,429.85714285714283
A2,A44,A0,239,30,,121,363,
A0,A0,A1,78,2,1.55,1,73,426.42857142857144
A2,A45,A1,105,1,4.13,2,287,430.7142857142857
A0,A46,A1,49,3,1.62,1,62,425.0
A2,A11,A1,130,2,3.79,3,59,427.57142857142856
A3,A47,A0,125,2,1.89,1,155,431.85714285714283
,A7,A0,200,1,0.09,1,0,248.0
A2,A7,A0,160,5,0.21,1,11,428.2857142857143
A0,A0,A0,150,5,0.02,1,0,196.57142857142858
A2,A36,A1,71,30,0.35,3,0,395.85714285714283
A0,A24,A1,45,1,0.99,2,310,430.7142857142857
A0,A0,A1,55,13,,1,0,
A2,A45,A0,149,5,,1,0,
A2,A3,A0,355,5,0.49,1,89,370.0
A0,A6,A0,550,2,,3,354,
A0,A5,A1,36,1,,1,0,
A2,A48,A0,240,30,,232,249,
A0,A29,A0,100,2,1.08,1,2,431.0
A0,A49,A1,45,2,1.24,4,159,411.0
A2,A45,A0,156,1,,1,7,
A2,A7,A0,180,2,2.15,2,362,431.0
A0,A5,A1,59,2,,1,10,
A2,A50,A1,115,1,5.8,1,11,430.7142857142857
A2,A45,A0,199,2,0.42,1,50,422.0
A2,A17,A0,175,2,1.03,1,0,388.42857142857144
A0,A51,A1,1100,1,0.03,1,365,284.85714285714283
A1,A52,A1,75,2,0.29,1,0,417.57142857142856
A2,A10,A2,60,2,,1,0,
A0,A0,A1,63,10,0.52,1,0,417.7142857142857
A1,A9,A0,149,3,,1,169,
A0,A29,A0,88,14,0.05,1,0,346.85714285714283
A2,A13,A0,600,10,0.06,1,36,383.57142857142856
A2,A13,A0,425,5,,1,0,
A2,A36,A1,169,1,,1,84,
A0,A0,A0,295,2,1.0,3,318,428.85714285714283
A2,A45,A1,200,2,2.33,1,8,428.7142857142857
A2,A2,A0,110,7,,1,0,
A1,A52,A1,90,5,0.09,1,83,338.2857142857143
A1,A28,A1,70,2,,1,95,
A2,A17,A0,129,2,4.78,1,12,429.85714285714283
A2,A8,A0,140,2,2.41,1,16,428.85714285714283
A0,A5,A0,250,1,0.32,3,365,396.0
A0,A12,A1,35,7,0.25,1,36,417.57142857142856
A0,A5,A0,135,4,2.23,1,282,430.2857142857143
A0,A51,A0,75,2,1.0,2,32,430.85714285714283
A2,A3,A1,65,1,3.08,1,101,429.7142857142857
A0,A51,A1,40,7,1.0,1,11,430.2857142857143
A0,A21,A0,180,1,2.0,1,365,430.85714285714283
A1,A53,A0,89,3,2.52,1,313,431.0
A0,A0,A1,75,7,1.58,1,324,427.7142857142857
A2,A3,A1,105,3,3.79,1,20,429.85714285714283
A2,A36,A1,250,1,,1,365,
A0,A5,A0,99,2,2.03,1,0,431.85714285714283
A1,A54,A0,120,4,1.76,4,51,427.2857142857143
A0,A38,A0,125,3,1.67,1,48,429.85714285714283
A2,A33,A0,240,2,,1,0,
A0,A39,A1,59,2,4.49,1,13,431.7142857142857
A1,A52,A0,125,7,0.58,1,0,418.2857142857143
A0,A6,A1,35,3,,1,0,
A2,A8,A0,450,1,,1,365,
A2,A11,A0,500,2,,1,0,
A0,A55,A1,99,1,1.15,1,88,428.57142857142856
A1,A9,A1,50,1,0.09,1,0,341.7142857142857
A0,A12,A0,105,4,0.03,1,0,196.28571428571428
A2,A36,A1,105,2,2.79,1,117,431.0
A0,A5,A1,42,30,,27,312,
A2,A8,A0,120,30,0.11,9,338,427.7142857142857
A0,A0,A1,52,6,0.02,2,0,250.0
A2,A45,A0,97,5,0.08,1,0,324.57142857142856
A1,A52,A0,110,4,0.32,1,363,428.85714285714283
A1,A28,A1,45,3,,4,365,
A0,A5,A0,150,5,0.47,1,160,423.42857142857144
A0,A56,A0,160,2,2.0,1,162,429.14285714285717
A2,A45,A0,105,3,,1,0,
A2,A16,A1,100,30,0.22,1,0,413.0
A3,A57,A0,67,3,5.39,1,140,428.2857142857143
A3,A58,A1,35,2,2.1,1,6,427.0
A2,A13,A1,100,3,3.96,1,90,431.0
